DATE,PALLFNFINDEXQ_PC1
2004-01-01,10.13639
2004-04-01,23.91498
2004-07-01,25.52074
2004-10-01,23.14715
2005-01-01,20.73631
2005-04-01,19.95436
2005-07-01,28.06035
2005-10-01,24.20473
2006-01-01,19.94820
2006-04-01,25.24519
2006-07-01,15.21138
2006-10-01,8.08054
2007-01-01,8.27728
2007-04-01,7.88207
2007-07-01,8.69291
2007-10-01,28.04931
2008-01-01,40.17043
2008-04-01,49.17377
2008-07-01,40.96363
2008-10-01,-19.26391
2009-01-01,-37.10282
2009-04-01,-40.90775
2009-07-01,-34.31809
2009-10-01,11.72149
2010-01-01,36.44232
2010-04-01,27.51458
2010-07-01,18.32743
2010-10-01,21.22209
2011-01-01,28.24223
2011-04-01,32.43826
2011-07-01,30.15350
2011-10-01,10.44577
2012-01-01,1.50383
2012-04-01,-8.94409
2012-07-01,-7.40595
2012-10-01,-2.82188
2013-01-01,-4.27776
2013-04-01,-3.26569
2013-07-01,-1.63320
2013-10-01,-2.77128
2014-01-01,-3.30845
2014-04-01,1.58540
2014-07-01,-4.83988
2014-10-01,-17.19814
2015-01-01,-31.59536
2015-04-01,-31.20960
2015-07-01,-34.43091
2015-10-01,-29.74322
2016-01-01,-22.80255
2016-04-01,-13.53656
2016-07-01,-1.41403
2016-10-01,12.15659
2017-01-01,28.95750
2017-04-01,8.11232
2017-07-01,7.84006
2017-10-01,10.61001
2018-01-01,11.09686
2018-04-01,20.52406
2018-07-01,16.70714
2018-10-01,3.38417
2019-01-01,-6.77290
2019-04-01,-8.98677
2019-07-01,-11.71363
2019-10-01,-5.88756
2020-01-01,-9.29460
2020-04-01,-22.56679
2020-07-01,-6.86868
2020-10-01,0.96226
2021-01-01,29.12584
2021-04-01,66.70321
2021-07-01,56.16872
2021-10-01,59.57694
2022-01-01,52.81481
2022-04-01,48.78738
2022-07-01,38.39382
2022-10-01,2.94253
2023-01-01,-17.32527
