DATE,CPALTT01DEQ657N
2000-01-01,0.629425649095209
2000-04-01,0.117279124315879
2000-07-01,0.663803201874249
2000-10-01,0.310318076027947
2001-01-01,0.618716163959791
2001-04-01,0.922367409684826
2001-07-01,0.152322924600161
2001-10-01,-0.0380228136882152
2002-01-01,0.950931913275009
2002-04-01,0.226073850791272
2002-07-01,0.0751879699248024
2002-10-01,-0.0751314800901623
2003-01-01,0.902255639097742
2003-04-01,-0.111773472429203
2003-07-01,0.335695635956725
2003-10-01,0.0371747211896073
2004-01-01,0.706057227796344
2004-04-01,0.774907749077496
2004-07-01,0.29293299157818
2004-10-01,0.219058050383351
2005-01-01,0.327868852459009
2005-04-01,0.399419026870018
2005-07-01,0.687160940325498
2005-10-01,0.251436781609197
2006-01-01,0.358294518093881
2006-04-01,0.535523027490174
2006-07-01,0.319602272727278
2006-10-01,0.0707964601769687
2007-01-01,0.848956490979835
2007-04-01,0.806734479130126
2007-07-01,0.521920668058473
2007-10-01,0.865351332641052
2008-01-01,0.720658888126291
2008-04-01,0.749574105621799
2008-07-01,0.710179235711862
2008-10-01,-0.570852921423758
2009-01-01,-0.0675447483958163
2009-04-01,0.202771206488678
2009-07-01,0.202360876897145
2009-10-01,0.0673174015482916
2010-01-01,0.33636057854019
2010-04-01,0.502849480388875
2010-07-01,0.200133422281508
2010-10-01,0.332889480692418
2011-01-01,0.829462508294625
2011-04-01,0.625205659756499
2011-07-01,0.392413342053629
2011-10-01,0.358306188925078
2012-01-01,0.746510873093148
2012-04-01,0.354381443298978
2012-07-01,0.545746388443014
2012-10-01,0.351213282247762
2013-01-01,0.286350620426337
2013-04-01,0.317258883248738
2013-07-01,0.664136622390896
2013-10-01,0.0628338045868715
2014-01-01,0.156985871271595
2014-04-01,0.188087774294658
2014-07-01,0.438047559449314
2014-10-01,-0.280373831775694
2015-01-01,-0.394578470877608
2015-04-01,1.2104909213181
2015-07-01,0.199335548172748
2015-10-01,-0.596816976127317
2016-01-01,-0.500333555703809
2016-04-01,1.03922225947033
2016-07-01,0.564034505640333
2016-10-01,-0.0659848234905671
2017-01-01,0.0990425883129526
2017-04-01,0.824538258575193
2017-07-01,0.686947988223769
2017-10-01,-0.194931773879156
2018-01-01,0.000000000000011428664182913300
2018-04-01,1.23697916666666
2018-07-01,0.836012861736337
2018-10-01,-0.0956632653061236
2019-01-01,-0.606447494414303
2019-04-01,1.57353885677586
2019-07-01,0.600695542206769
2019-10-01,-0.314267756128232
2020-01-01,-0.238560348945051
2020-04-01,0.36642238507662
2020-07-01,-0.730169266511779
2020-10-01,0.100300902708113
2021-01-01,1.77020708082832
2021-04-01,1.05021332458157
2021-07-01,0.909386164339079
2021-10-01,0.901190859349863
2022-01-01,1.85007974481657
2022-04-01,2.84998434074538
2022-07-01,1.61388550548111
2022-10-01,2.00779142942765
2023-01-01,1.52761457109282
