DATE,CPALTT01ESQ657N
2000-01-01,0.912093736158747
2000-04-01,0.941575894005148
2000-07-01,1.23536102488182
2000-10-01,0.851368073227588
2001-01-01,0.709794316754186
2001-04-01,1.27938016699438
2001-07-01,0.754391289949819
2001-10-01,0.0380593753741385
2002-01-01,0.41230899979629
2002-04-01,2.19031464271205
2002-07-01,-0.257634346258681
2002-10-01,1.55542429612129
2003-01-01,0.232648313299746
2003-04-01,1.30975407571151
2003-07-01,-0.21001527383811
2003-10-01,1.30510837182605
2004-01-01,-0.218088287534784
2004-04-01,2.31002875143082
2004-07-01,-0.107035255563187
2004-10-01,1.43263443349426
2005-01-01,-0.390811793039273
2005-04-01,2.27115019529972
2005-07-01,0.102415731056279
2005-10-01,1.54745309682454
2006-01-01,0.0545739245788162
2006-04-01,2.20064697762432
2006-07-01,-0.294354308985826
2006-10-01,0.625856950512022
2007-01-01,-0.11211725664622
2007-04-01,2.16539061827924
2007-07-01,-0.315558602881324
2007-10-01,2.19217093302013
2008-01-01,0.294416323574562
2008-04-01,2.37941995997017
2008-07-01,-0.0256829951738992
2008-10-01,-0.195931075205332
2009-01-01,-1.64966672429357
2009-04-01,1.21522962800926
2009-07-01,-0.42182531106241
2009-10-01,1.02666857867056
2010-01-01,-0.717387634845855
2010-04-01,1.71291895609703
2010-07-01,-0.0649619535692812
2010-10-01,1.61864213487417
2011-01-01,0.186669060818952
2011-04-01,1.7205778572682
2011-07-01,-0.477929705423512
2011-10-01,1.31121299188928
2012-01-01,-0.589781489598726
2012-04-01,1.73003537709939
2012-07-01,0.295195513028193
2012-10-01,1.63853812966167
2013-01-01,-1.04249435845278
2013-04-01,0.840069232553563
2013-07-01,-0.213045309287282
2013-10-01,0.554320186404797
2014-01-01,-1.15790216202872
2014-04-01,1.04978822253227
2014-07-01,-0.759563401120819
2014-10-01,0.378596488731065
2015-01-01,-1.66960886487864
2015-04-01,1.83062236834514
2015-07-01,-0.916203490636174
2015-10-01,0.469126274644317
2016-01-01,-2.00145806291007
2016-04-01,1.53610555690629
2016-07-01,-0.154753395282335
2016-10-01,1.63476717006661
2017-01-01,-0.284220980932185
2017-04-01,0.798934753661772
2017-07-01,-0.49125929871158
2017-10-01,1.42964290618937
2018-01-01,-0.770707558141549
2018-04-01,1.6457507513286
2018-07-01,-0.0712488512413445
2018-10-01,0.912084429809452
2019-01-01,-1.3305025736248
2019-04-01,1.42627839238398
2019-07-01,-0.670538920930304
2019-10-01,1.04144133007818
2020-01-01,-1.17207677459695
2020-04-01,0.155425270360893
2020-07-01,-0.515334727243402
2020-10-01,0.822387719746286
2021-01-01,0.133835816655187
2021-04-01,2.11355712039381
2021-07-01,0.296930601259355
2021-10-01,3.17679650211941
2022-01-01,2.07292771926193
2022-04-01,3.28583743217889
2022-07-01,1.17979527713685
2022-10-01,-0.0758152412895988
2023-01-01,0.601822767292162
